Word,PartsOfSpeech,Synonyms,Usage,Antonyms,RelatedPartsOfSpeech,
incongruity,,lack of harmony; absurdity,,,,
incongruous,,heterogeneous; out of place; inappropriate; not harmonious,,,,
inconsequential,,insignificant; unimportant; illogical,,,,
incorporate,,combine; unite; form a legal cooperation; embody,,,,
incorporate,,combine; write; introduce,,,,
indebted,,owing money; owing gratitude to someone,,,,
indefatigable,adj.,cannot be made tired,,,,
indeterminate,,vague; not determined; indefinite; uncertain,,,,
indeterminate,,uncertain; not clearly fixed; indefinite,,,,
indict,,charge in court; arraign,,,,
indifferent,,impartial; unbiased; not interested,,,,
indigence/indigent,,poverty,,,,
indolent,adj.,lazy; idle; couch potatoes,,,,
inebriated,,habitually intoxicated; drunk,,,,
infer,v.,to conclude from implicit evidence (as opposed to explicit facts); deduce,,,,
inflict,,wreak,,,,
inform,,inspire; animate; give substance,,,,
ingenuous,adj.,naive; genuine; innocent; unsophisticated; trusting; sincere,,,,
ingrained,,deep rooted,,,,
inherent,,firmly established by nature or habit; intrinsic,,,,
inhibit,,restrain; retard; prevent,,,,
inimical,adj.,harmful; unfriendly; hostile; detrimental,,,,
iniquitous,,wicked; immoral;unrightous,,,,
innate,adj,inborn; natural; inbred; congenital; inherent; intrinsic,,,,
innocuous,adj.,harmless; inoffensive,,,,
inscrutable,adj.,enigmatic; incomprehensible; impenetrable; not readily understood,,,,
insinuate,,hint; imply; creep in,,,,
insipid,adj.,bland; uninspired; inane; lacking taste or flavor,,,,
insolent,,ill mannered; impertinent; impudent; cheeky; showing rude or arrogance ,,,,
insular,adj.,tight-knit and isolated; uninterested in matters outside one's immediate sphere; isolation; narrow-mindedness,,,,
intelligible,,able to understood; clear,,,,
intensive,adj.,concentrated and in-depth,,,,
intermediary,n.,a go-between,,,,
intimate,adj.,close (as in a relationship); particularly private,,,,
intimate,v.,to imply; to hint,She intimated rather than stated her preferences.,,,
intractable,adj.,unmanageable; unyielding; stubborn; obstinate; unruly,,,,
intransigent,adj.,"uncompromising, obstinate, stubborn; Intransigence of striking worker",,,,
intrepid,adj.,bold and adventurous; fearless,,,,
intrinsic,,belonging to the essential nature of a thing,,,,
inundate,,overwhelming; flood; submerge,,,,
inured,,accustomed; hardened,,,,
inveterate,adj.,ingrained; deep rooted; habitual,inveterate smoker,,,
invulnerable,adj.,indestructible; impervious to harm; incapable of injury,,,,
irascible,adj.,irritable; easily angered; testy; touchy,,,,
irksome,,irritating; annoying; tedious,,,,
irony,,word to express something opposite to its literal meaning,,,,
irresolute,adj.,wishy-washy; hesitant; weak; not sure how to act,,,,
jargon,,convoluted; unintelligible language,,,,
jocular,,joking; jolly; playful,,,,
judicious,,using good judgement; wise; sensible,,,,
juncture,,critical point in time,,,,
kindred,,similar in nature or character; related,,,,
laconic,adj.,using few words; taciturn; reserved; brief; concise; terse; succinct,,,,
lampoon,,harsh; satire; ridicule,,,,
languid,,dropping from exhaustion; sluggish; slow; lacking in spirit,,,,
lassitude,,languor; weariness; tiredness; lazy indifference,,,,
lassitude,,languor; lethargic; weariness; depression,,,,
laud,v.,to praise,,,,
laudable,adj.,praiseworthy; commendable; admirable; worthy; deserving,,,,
lavish,,abundant; marked by access,,,,
laypeople,,layman,,,,
layperson,,person who is not a member of clergy,,,,
lethargic,,lacking energy; listless; inactive; slow; drowsy; dull,,,,
levity,,lack of seriousness; lack of steadiness; frivolity,,,,
levity,,"lightness (of mind, spirit, mood)",,,,
levy,,collect tax from; wage war on,,,,
liberal,,favorable to progress/reform,,,,
libertine,,morally or sexually unrestrained person,,,,
likewise,,similarly,,,,
litigation,n.,legal proceedings; lawsuit,,,,
log,,keep record of,,,,
loquacious,adj.,talkative; communicative; chatty,,,,
lucid,,easy to understand; clear,Lecture was lucid for students to understand the concepts.,,,
lucid,adj.,clear and coherent; easy to understand; intelligible,,,,
ludicrous,,laughable; trifling,,,,
lull,,soothe; cause to fall asleep,,,,
luminous,adj.,full of light; shinning; issuing light,,,,
lured (to) ,,attracted; tempted; enticed,,,,
magnanimity,n.,generosity and nobility of spirit,,,,
makeshift,,temporary; substitute; improvised,,,,
maladroit,adj.,clumsy; awkward; inept; lacking skill,,,,
malign,adj.,evil or harmful,,,,
malign,v.,to speak negatively about someone or something,,,,
malignant,,injurious; tending to cause death; malevolent,,,,
malingerer,,one who feigns illness to escape duty,,,,
malleable,adj.,pliant; pliable; easily influenced; capable of being shaped by pounding,,,,
manacle,n,chain; shackle,,,,
manacle,v,control by chain; fetter (restrain with chain),,,,
maverick,n,unorthodox person; rebel; nonconformist; dissenter,,,,
meld,v.,combine; blend,,,,
menacing,v,threat; threatening menace,,,,
mendacity/ mendacious,n.,untruthfulness; dishonesty; lying,,,,
mercurial,adj.,easily changeable (mood); capricious; fickle,,,,
metamorphosis,,change of form,,,,
meteoric,,swift; momentarity brilliant,,,,
meticulous,adj.,paying close attention to detail; precise; extremely careful,,,,
misanthrope,n.,person who hates humanity,,,,
mitigate,v.,to improve a painful situation; make less unpleasant; make less severe,,,,
modest,adj.,not boastful; humble; simple; decent,,,,
mollify,v.,calm; placate; soothe,Airlines crew try to mollify the angry customers.,,,
monotony,n.,sameness leading to boredom and repetition,,,,monotonous (adj.)
morbid,,"characterized by an abnormal and unhealthy interest in disturbing and unpleasant subjects, especially death and disease.; ghoulish; macabre; unhealthy; gruesome",his morbid fascination with the horrors of contemporary warfare,,,
mores,,customs; manners; morals of a particular group,,,,
morose,,ill humoured; sullen; melancholy,"After getting fired suddenly, Bill acted morose for few months.",,,
mundane,adj.,worldly as opposed to spiritual; everyday; common; boring,,,,
munificent,adj.,very generous,Shamelessly fawning (flattery) over munificient donor,,,
naive,adj.,inexperienced; simple; unsophisticatred; gullible,,,,
nascent,,just beginning; a very early stage; incipient; coming into being,No one can identify revolutions at its nascent state.,,,
negate,,deny; refute; make void; cause to be ineffective,,,,
neglect,v.,to abandon or leave uncared-for,,,,
neophyte,,beginner; recent convert,,,,
net,,remaining after expenses,,,,
nettles,,irritate; annoy,,,,
nonplussed,adj.,confused and baffled,,,,
notoriety,n.,fame for doing something negative or criminal; disrepute; ill fame,,,,
novel,,new; fresh; original,,,,
nuance,n.,subtle shades of difference; subtle distinction; subtle difference in tone,,,,
obdurate,adj.,stubborn; refuse to change position; obstinate,,,,
obfuscation,n.,"the action of making something obscure, unclear, or unintelligible",To avoid reporter's questions politician resorted to obfuscation.,,obfuscate(v),
objective,,factual; unbiased; not influenced by emotions,,,,
objurgation,,harsh reprimand; criticism; harsh rebuke,,,,
oblivious,adj.,unaware; unconscious; heedless; unmindful; insensible,Music made me oblivious to the passage of time.,,,
obloquy,,vilification; oppobrium; vituperation; disgrace; dishonor; shame; strong public criticism,,,,
obscure,adj.,mysterious; make unclear; abstruse; vague; unclear; difficult to perceive; not well-known,,,,
obsequious,adj.,servile fawning; overly fawning and helpful in a way that is disingenuous; slavishly attention,,,,
obsolete,,out of date; no longer in use,,,,
obstinate,adj.,stubborn; intransigent; uncompromising; inflexible,,,,
obtuse,,stupid; dull; slow-witted; slow; dull-witted; unintelligent,,,,
obviate,v.,to forestall the need for something; get rid of; to prevent; to eliminate,,,,
obviated,,remove;preclude;prevent,,,,
occlude,v.,to block; shut; close; to obstruct,,,,
occult,n.,the mystical and supernatural; mysterious; secret,,,,
offhand,,casual; informal; brusque,,,,
officious,,meddlesome; excessively pushy in offering one's service; extremely eager to give unwanted advice,Officious salesman tried to convince the buyer to take the expensive diamond pendant set.,,,
offset,v.,to counterbalance; to counteract; compensate for,,,,
olfactory,adj.,relating to smell or the sense of smell,,,,
omniscience,n.,the quality or state of being all-knowing,,,,omniscient (adj)
onerous,adj.,difficult; oppressive; hard to endure; burdensome,,,,
opaque,adj.,not see-through; blocking light; not transparent,,,,
opportunism,n.,the practice of taking advantage of opportunities as they arise,,,,
opprobrium,n.,criticism; infamy; vilification; condemnation,,,,
opulent,,ostentatiously costly and luxurious; sumptuous; palatial; lavishly appointed; lavish,the opulent comfort of a private jet,,,
orthodox,,adhering to a traditional faith or belief,,unorthodox; maverick,,
oscillate,v.,waver; to swing back and forth between two points or positions,,,,
ostentatious,adj.,showiness; gaudiness; overly showy in a way that is gaudy or vulgar,,,ostentation (n.),
outstrip,v.,surpass; out do; exceeded; be larger than; to overtake; outrun,,,,
overshadow,,to literally cast a shadow over; dominate; to appear more notable than,,,,
painstaking,adj.,showing hard work; attentive to detail; taking great care; meticulous,,,,
panacea,,cure-all; remedy for all diseases,,,,
panegyric,,eulogy; speech of praise; formal praise,"Getting shower of praise, the war hero said that he does not deserve the panegyrics.",,,
pappenheim,,,,,,
paradigm,n.,model; pattern; set of shared value or assumption,,,,
paradox,,dichotomy; incongruity; contradiction,,,,
pariah,,social outcast; untouchable,,,,
partial,adj.,incomplete; biased; prejudiced,,,,
partisan,n.,a devoted supporter of a group or cause; one-sided; prejudiced,,,,
pastiche,,imitation; parody; pasticcio,,,,
patent,adj.,blatant; obvious,,,,
pathological,,pertaining to disease,,,,
patronizing,,condescending; having superior manner; imperious; snobby; superior; scornful; disdainful; haughty,,,,
paucity,n.,scarcity; poverty; low in number,Harry closed the business due to paucity of customers.,,,
peccadillo,,small sin; small fault,,,,
pedant,n.,bookish; showing off learning; purist; perfectionist; formalist; literalist; dogmatist; doctrinaire; fussy,,,pedantic (adj),
pedestrian,adj.,boring; monotonous; run-of-the-mill; ordinary; unimaginative,,,,
penchant,,strong inclination; liking,Dave has penchant of taking risk as climbed Mt Madonna in rain.,,,
penchant,,liking; inclination,,,,
penury,,severe poverty; stinginess,,,penurious (adj); close fisted,
perceptive,,wise; insightful; aware,,,,
perennial,,something long lasting,,,,
perfidy,n.,treachery; deceit; disloyalty,,,perfidious (adj),
perfunctory,adj.,done without much effort and care; superficial; not thorough,,,,
peripheral,adj.,on the edge or periphery; not centrally important; marginal; outer,,,,
permeate,v.,to pervade or penetrate throughout; porous; spread throughout,,,,
perpetuate,v.,keep alive; keep going; keep in existence; preserve; conserve,,,,
perseverance,n.,persistence in the face of obstacles,,,,
perspicacity,,shrewedness; astuteness; perceptiveness; quality of having insight,,,,
pertinent,,suitable to the point,,impertinent; illmannered; rude; impolite; unmannerly,,
peruse,v.,to read something carefully and closely; read something informally or quickly,,,,
pervasive,adj.,found everywhere; widespread; spread throughout,,,,
phenomena,n.,things that happen; observable facts,,,,
philanthropy,,efforts for betterment of mankind,,,,
phlegmatic,adj.,cool and unruffled,,,,
phoney,n.,impostor; sham; fake; fraud; mountebank; quack; cheat,,,,
phony,,fake; insincere; counterfeit,,,,
piety,,devoutness; reverence of god,,,,
pious,,devout; religiously reverant and dutiful,,,,
pith,n.,the essential substance of something; concise; core; marrow; essence; substance,,,,
placate,v.,to calm an angry or upset person; propitiate; pacify; appease; mollify,,,,
placid,,peaceful; calm; tranquil,,,,
plastic,adj.,easily shaped or molded; easily influenced,,,,
platitude,n.,a trite or cliche statement,,,,
platitudinous,adj,used too often to be interesting or thoughtful; hackneyed; overworked; overused; clichéd; banal; trite,this may sound platitudinous,,,
plausible,adj.,"believable, reasonable",,,,
plethora,n.,a surplus or overabundance of something; excess; overabundance,,,,
plummet,v.,to fall quickly and far; plunge; ,Stock prices plummet as the oil price is soaring,,,
polarize,v.,to cause a sharp division between two groups,,,,
polemic,n.,controversy; argument in support of a point of view; agressive in verbal attack; disputatious; hostile; bitter; polemical; virulent; vitriolic,Her essays are polemics for the party policy.,,polemical (adj),
polemical,adj.,angry; hostile; harshly critical; agressive on verbal attack,,,polemic (n.),
ponderous,,heavy; bulky; unwieldy; dull,,,,
portentous,,of or like a portent; omnious; foreshadowing,,,,
posthumous,,recornize after death; happening after death,,,,
posture(ing),,pose;stance,,,,
potentate,,ruler; monarch;soverign,,,,
pragmatic,,practical,,,,
pragmatic,adj.,practical; sensible; business-like,,,,
preamble,,introductory statement; preface,,,,
precarious,adj.,uncertain; risky; unstable,Stocks are precarious investment.,,,
preceded,adj.,went before,,,,
precedence,,supersede; come before; out-weigh; take priority over,,,,
precedent,,something preceding in time,,,,
precipitate,v.,to cause to happen suddenly; instigate; spark,,,,
precipitate,adj.,hastily and not well-considered,,,,
precipitate,n.,particulate matter formed within a solution,,,,
preclude,,make impossible; eliminate; ,The fact that the band was already booked to perform at Dubai on new-years eve precluded their accepting the offer to perform in London.,,,
precocious,,advanced in development,,,,
precursor,n.,a forerunner,John is the precursor of romantic movement.,,,
predicament,,tricky situation; dangerous situation; dilemma ,,,,
predilection,,partiality; preference,,,,
predisposed,,susceptible; having an inclination or tendency beforehand,,,,
preempt,,take action in order to prevent; take place of in advance; forestall; steal a march on; anticipate,,,,
prejudice,,preconceived notion (opinion) that is not based on reason or actual experience,,,,
prescient,adj.,knowing things before they happen; foresighted; prophetic,,,,
presumptive,,based on inference or assumption; providing grounds for belief,,,,
presumptuous,adj.,overly familiar; invades social boundaries; arrogant; taking liberties,,,,
pretentious,,ostentatious; pompous; making unjustifiable claims; over ambitious,,,,
prevail,v.,to succeed esp. with respect to vanquishing an opponent; convince; persuade ,,,,
prevalence,,wide spread; generally accepted,,,,
prevaricate,v.,to evade or deceive without outright lying; lie; perjure; beguile; misinterpret,,,,
pristine,adj.,untouched; clean; pure; incorrupted,,,,
probity,n.,integrity and honor; uprightness; incorruptibility; honesty; integrity,,,,
problematic,,doubtful,,,,
prodigal,n.,a reckless spender; wastefully extravagant; spendthrift,,,,
prodigious,adj.,enormous; immense; gigantic; impressive,,,,
profligate,adj.,extravagant and wasteful in an immoral way; imprudent; improvident; spendthrift; prodigal,,,,
profound,,very insightful; penetrating deeply into subjects; pervasive,,,,
profuse,,abundant; extravagant,,,,
proliferate,v.,to multiply and spread rapidly; grow rapidly,,,,
prologue,,introductory section of a book,,,,
promulgate,,proclaim a doctrine or law,,,,
pronounced,,distinct; strong clearly indicated,,,,
prop up,,to stop from falling; encouragement,,,,
propensity,,natural inclination,,,,
propitiate,v.,"to obtain special favor from someone performing a pleasing action; to placate, to calm; to appease",esp. a powerful person or,,,
propitious,,giving or indicating a good chance of success; favourable; auspicious; promising; providential; advantageous,the timing for such a meeting seemed propitious,,,
propriety,n.,appropriateness; manners; decorum,,,,
prosaic,,dull; ordinary,,,,
proscribe,,prohibit; denounce; ostracize; banish; outlaw; exile,,,,
prospective,adj.,potential or likely; applicable to the future,,,,
prudent,,wise in practical matters,,,,
pugnacious,,inclined to fight; combative,,,,
punctiliousness,,minutely attentive; stressing niceties of conduct or form; fastidiousness,,,,
qualification,n.,credential; modifying statement,,,,
qualified,,limited; restricted; modified,,,,
qualified,,restricted; limited,qualified endorsement,,,
quandary,,dillemma; a state of perplexity or uncertainty over what to do in a difficult situation; plight predicament; state of uncertainty,Kate was in a quandary,,,
quibble,,minor objection; minor complaint,Teensy queensy quibble about the set could not spoil the play.,,,
quiescent,,at rest; dormant; temporarily inactive,Volcano us quiescent for two years.,,,
quotidian,adj.,relating to the everyday; daily; ordinary; mundane,,,,
rambling,,long winded; garrulous; verbose; prolix,,,,
rarefied,,made less dense,"With increase in altitude, it becomes difficult to breath in rarefied atmosphere.",,,
rationalize,v.,to attempt to justify with reasons that are only superficially valid,,,,
recalcitrant,,obstinately stubborn; determined to resist authority; unruly,,,,
recant,,disclaim; disavow; retract a previous statement; openly confess error,,,,
recapitulate,,summarize and state again,He began ti recapitulate his argument meticulously.,,,
reconcile,v.,to bring into harmony; to repair a relationship; become friend after quarrel,,,,
recondite,adj.,arcane; obscure; abstruse; profound; secret,,,,
refactory,,stubborn; unmanagable,,,,
refute,v.,to rebut; to disprove,Refute the false claim by providing evidence.,,,
reined (in),,control; limit,,,,
relegate,,banish to an inferior position; delegate; assign,,,,
relentless,adj.,never stopping; constant,,,,
relevant,adj.,relating to the topic or issue at hand,,,,
render,,give; provide; supply; furnish; submit; surrender; deliver; provide; represent,,,,
replete,,supplied in abundance; filled; gorged,,,,
reproach,,express disapproval; express disappointment; rebuke; blame; disgrace; criticize,Kids did not break anything to avoid reproachful face of mother,,,
reprobate,,person hardened in sin; devoid a sense of decency,,,,
repudiate,,abhor; give up; disclaim; disavow; retract a previous statement; renounce; openly confess error; recant; abjure,During separation wife repudiated all the debts by her soon-to-be ex-husband.,,,
repudiate,v.,to renounce; disavow; reject; disown; cast off; deny,,,,
requite,,reciprocate; repay; revenge,,,,
rescind,,cancel,Due to public outcry Government has to rescind the new law.,,,
rescind,v.,to take back or retract (an offer or statement); annul; cancel,,,,
resolution,,quality of being firmly determined; resolving to do something,,,,
resolve,,find a solution; firmly decided to do something,,,,
resolve,v,determination; firmness of purpose,"Resolved to do skydiving, noway to change my mind.",,resolution (n.),
respectively,adv.,in the sequential order previously given,,,,
restive,,restlessly impatient; uneasy; obstinately resisting control,,,,
reticent,adj.,hesitant to speak; reserved; uncommunicative; introverted; silent,,,,
retrospective,,looking to the past; backward,,,,
reverent,adj.,solemn and respectful; worshipful; expressing deep respect and awe,,,,
rhetoric,n.,the art of effective communication (written or verbal),,,,
riddle,,mystifying; misleading; mystery; conundrum; enigma,,,,
rife,,abundant; current; happening frequently,"In the face of many rumors which is rife, it is better to keep silence.",,,
rudimentary,,elementary; relating to basics; undeveloped; primitive,,,,
rugged,,rough; robust; durable,,,,
rustic,,uncouth; pertaining to country people,,,,
sacrosanct,,sacred; inviolable; above any criticism,,,,
sagacious,,wise; showing good judgement; foresight; perceptive; shrewd,,,,
sage,,monk; person of wisdom,,,,
salubrious,,healthful; health-promoting,Family is going on a vacation to a salubrious place to facilitate recovery of their sick son.,,,
salutary,,tending to improve; beneficial; wholesome,Jail should have a salutary effect on prisoners,,,
sanction,,approve,I can not sanction my daughters marriage with such worthless fellow.,,,
sanction,v.,to give official permission; to approve; to ratify; to impose a penalty for a particular action,,,,
sanction,n.,punishment imposed for breaking a regulation,,,,
sanguine,,cheerfully optimistic; hopeful; reddish,,,,
sap,,vitality; undermine; weaken; diminish; tire out,,,,
sartorial,,,,,,
satiate,v.,to completely satisfy (with respect to hunger or appetite); having stuffed with delicious food,The guests were so satiated that they took a nap.,,satiated (adj),
saturate,,soak thoroughly,,,,
savor ,,enjoy; appreciate fully; taste or smell with pleasure,,,,
scant,,not enough; barely enough; meager; insufficient,,,,
scathing,,severe; injurious; bitterly harsh,,,,
schism,,divison; split,,,,
schism,,division; split,,,,
scornful,adj,disdainful; contemptuous,,,,
secrete,v,"(of a cell, gland, or organ) produce and discharge (a substance); emit; excrete; exude; ooze; leak",insulin is secreted in response to rising levels of glucose in the blood,,,
secular,adj.,of or relating to the world or worldly matters (as opposed to spiritual),,,,
sediment,n.,material that settles at the bottom of a body of water,,,,
sedulous,adj.,dedicated and careful; dilligent,Roma is so sedulous that she get commendation for her hand work,,,
sentient,,conscious; experiencing sensation,,,,
serendipity,,gift of finding items by accident/luck,,,,
sham,,pretense; fake; act,,,,
shard,,fragment (generally of pottery),,,,
simpleton,n.,fool; dull; dullard; ignoramus; idiot; imbecile; nincompoop; dunce,,,,
simultaneous,adj.,occurring at the same moment,,,,
skeptic,,doubter; doubtful,,,,
skirt,,border; lie along the edge of; go around,,,,
slack ,,loose; negligent; lazy; weak,,,,
slew,,large number,,slight; small; slender,,
snare (for),v,trap,,,,
solicitous,adj.,considerate; attentive; worried; anxious; concerned,Mom is solicitous about babies health,,,
soporific,adj.,sleep-causing; makes sleepy,,,,
sparse,adj.,scattered; scarce; austere and unadorned,,,,
spartan,,very disciplined; stern; frugal; austere; lacking luxary and comfort,,,,
spate,,sudden flood,,,,
spearhead,,be leader of,,,,
specious,adj.,deceptive; spurious; appearing true but actually false,,,,
spectrum,,broad range of qualities and ideas,,,,
speculate,,contemplate; make an educated guess,,,,
sporadic,adj.,occasional or scattered,,,,
sportive,,playful; merry,,,,
spurious,adj.,fake or false,Claiming bird and houses both can fly is a spurious claim.,,,
standing,,rank; status; reputation,,,,
stark,,complete; total; utter; harsh; grim; blunt; plain,,,,
status quo,,existing state; existing condition,,,,
stigmatization,,action of describing someone worthy of disgrace,,,,
stingy,,not generous with money,,,,
stint,,be thrifty; set limits,"Spare no limits in marriage, refuse to stint",,,
stipulate,,"make express conditions; specify (a requirement), typically as part of an agreement",President stipulated the conditions before sending aid to Syria.,,,
stoic,,indifferent to pleasure; enduring without complaint,,,,
stolid,adj.,calm and dependable; dull; impassive; unemotional,,,,
strident,,loud and harsh,Can not hear amidst strident cries,,,
stringent,,binding; strict; rigid,Immigration regulations are getting stringent in US.,,,
stymie,,block; hinder; thwart; obstacle,,,,
subdue,,muted; toned down; softened; soft; lowered,,,,
subjective,adj.,open to personal interpretation; not based in objective fact,,,,
subpoena,,summoning someone to court,,,,
subside,,settle down; descend; grow quiet,Fever will subside with time,,,
subside,,sink; settle down,,,,
substantiate,v.,to corroborate or give evidence of something; verify by evidence,,,,
subversive,,destructive; tending to throw,Plastic cups are subversive to the environment,,,
subversive,adj.,meant to undercut established institutions or norms; tending to overthrow; destructive,,,,
succeeding,,coming after; following,,,,
succinct,,briefly and clearly expressed; concise; short; terse; compact; condensed; crisp; laconic,express your thoughts succinctly,,,
sufficient,adj.,enough for a given purpose,,,,
suffrage,n.,voting rights in political elections; franchise; enfranchisement,universal adult suffrage,,,
superbly,adv.,excellently,,,,
superior,one,,,,,
supersede,,replace; make obsolete,,,,
supine,,lying down; recumbent ,,,,
supine,adj.,laying back with the face upward (opposite position to prone),,,,
supplant,v.,to overtake or replace; usurp; seize; take over; expropriate,,,,
supplicate,,pray; humbly ask; beg,,,,
supposition,,hypothesis; surmise,,,,
surfeit,,excess; excessive amount,,,,
surmise,,guess; infer; think,,,,
susceptible,adj,impressionable; easily influenced; receptive to; vulnerable to,,,,
sycophant,n.,a fawning; insincere admirer; boot-licker; yes man,,,,
synchronous,,happening at the same time,,,,
synthesize,v.,to combine disparate parts into a coherent whole,,,,
table,,lay aside to discuss later,,,,
tacit,adj.,unspoken; implicit; understood; not put into words,,,,
taciturn,adj.,reticent or reserved; tending towards silence; habitually silent,,,,
tangential,,slightly relevant; going off-topic; peripheral; only slightly connected; digressing,Tangential remarks were made to distract Mary but she was coming back to original question. ,,,
tangled,,twisted together untidily; matted,,,,
tantamount,,equivalent in effect/value,,,,
temperance,n.,moderation and restraint; abstinence (from alcohol),,,,
tenuous,adj.,weak; long and thin; flimsy; insubstantial,,,,
tepid,,lukewarm,,,,
timorous,adj.,meek; timid; fearful,,,,
tirade,n.,an angry rant; diatribe; extended scolding; denunciation,,,,
torpor,n.,tiredness; dormancy; lethargy; sluggishness,During winter bear does not arouse from torpor,,,
torrid,,passionate; hot scorching; parching,,,,
tortuous,adj.,winding or twisty; complicated,The road is so tortuous that driving is super tough.,,,
tractable,,controllable; managable; malleable,Tractable dogs had obediance training,,,
tractable,adj.,can be easily influenced or managed; docile; obedient,,,,
tranquility,,calm; peaceful,,,,
transcend,,surpass; excel,,,,
transgression,,violation of law; sin,Cop ignored the the traffic transgression,,,
transient,adj.,passes quickly; short-lived,,,,
transitory,,temporary; short lived; not lasting,,,,
trifling,,trivial; frivolous; shallow; unimportant,,,,
trite,,hackneyed; commonplace,,,,
truculence,,agressiveness; ferocious; ferocity,,,,
tumult,,commotion; riot; noise,,,,
ubiquitous,adj.,ever-present; exist everywhere; universal,,,,
unadorned,adj.,plain; unembellished,,,,
undermine,v.,to weaken or compromise,Corruption undermined peoples' trust.,,,
underreported,,fail to report (something) fully,,,,
underscore,v.,to line underneath for emphasis; to emphasize,Underscored the importance of nutrition.,,,
unearth,,dig up,,,,
unequivocal,,plain; obvious,,equivocal,,
unprecedented,,novel; unparalleled; never seen before,,,,
unpretentiousness,,not attempting to pretend to be superior; unaffected; modest; unassuming; without airs; natural,,,,
unscrupulous,,unprincipled; unethical,,scrupulous; conscientious; extremely through,,
unseemly,,improper; indecent,,,,
unsound,,rickety; filmsy; shaky; wobbly,,,,
untenable,adj.,weak or unsupportable,esp. with respect to an opinion or,,,
untenable,,weak; unsupportive; indefensible,,,,
urbane,,suave; elegant,,,,
vacillate,v.,to shift between multiple options or opinions; waver; fluctuate; sway,,,,
vehement,,forceful; intensely emotional; with marked vigor,Alfred became vehement as he started loosing money in stick market,,,
venality,n.,the state of being capable of being bribed,,,,
vendetta,,blood feud,Mobs engaged in a bitter vendetta,,,
venerate,v.,to give a high degree of respect; may border on worship; revere; exalt; honor; esteem,Tibetians venerate Dalai Lama.,,,
veracious,adj.,truthful,People who are honest and veracious can be trustworthy,,veracity (n),
veracity,n.,truth and factual accuracy; truthfulness,,,,
verbose,adj.,long-winded; wordy; loquacious,,,,
vexation,n.,state of being frustrated; irritated; ,,,,
viable,,practical; workable,,,,
vindicate,,clear from blame; exonerate; justify; support,,,,
vindictive,,out for revenge; mallacious,Divorce sometimes brings the vindictive streak in people,,,
vintage,,high quality item of previous era,,,,
virtual,,in essence; for practical purposes,,,,
viscous,,sticky; gluey,Melted tar is viscous,,,
vituperative,,abuse; scolding; verbal abuse; rebuke; criticize harshly,Mary became vituperative as mom rejected her wish.,,,
volatile,,varying; inconcistent,,,,
volatile,adj.,easily changeable or extreme; unstable; evaporating rapidly; fraught,,,,
warranted,,justified; authorized,To get mercy you must convince judge that your action is warranted.,,,
wary,,watchful; motivated; very cautious,Spies wary as they put their life on stake to collect information.,,,
welter,n.,turmoil; bewildering; jumble,The welter of India and Pakistan over Kashmir makes the situation worse.,,,
welter,v.,wallow,After battle soldiers weltered in their blood.,,,
whereas,,while on contrary,,,,
whimsical,adj.,fanciful; capricious,Mrs Doubtfire is whimsical,,,
wily,adj.,crafty; cunning,Alexia is wily as a fox to win any argument.,,,
woo,,seek favor; seek support,,,,
wreak,v.,inflict,Do not wreak your vengeance (or revenge) on the new comers.,,,
zeal,n.,passion; fervor; eager enthusiasm,Max zeal is encouraging the whole class to attend the College football match.,,,
zealot,n.,fanatic person with excessive zeal,Max is zealot about Manchester United as he never missed a single match  of them.,,,